BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;1;48;53520;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;1;118;92648;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;1;228;67036;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;1;456;61952;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;2;4;7680;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;2;9;13016;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;2;20;27344;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;2;43;53520;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;2;86;92648;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;2;141;67036;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/642.pts;;64;0.15;642;2;255;61952;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/010.pts;;64;0.15;10;4;3;7680;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/020.pts;;64;0.15;20;4;5;13016;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/040.pts;;64;0.15;40;4;12;27344;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/080.pts;;64;0.15;80;4;25;53520;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/160.pts;;64;0.15;160;4;48;92648;
Octree;/home/xbubel08/avs-proj02/scripts/../data/benchmark/320.pts;;64;0.15;320;4;73;67036;
